id,name,price_numeric,review_scores_location
1253577850320658768,Quiet house. 25 minutes to beach,45.0,4.92
1086861414265159459,"Nanner Villa Guest Bungalow - 5 min to beach, Art",45.0,4.91
1081964429898055895,Nature,45.0,4.91
1128953674288698635,Economy Room with Pool Near Sawgrass #1,45.0,4.9
1431568850225944182,Private room 10 min FLL AirPort,45.0,4.85
1150177946046078515,Private Room #3 near Hard Rock,45.0,4.85
1374220474552747745,Eden Escape Studio: 2103 Walk to FLT Beach,45.0,4.84
15734617,"Include parking, cozy",45.0,4.83
862180061133215658,"Clean, Cozy & Quiet private room",45.0,4.82
1105141385554374059,Small Apartment w/ Free Parking,45.0,4.8
936343822491769767,Cozy room #2 near Casino and Raceway,45.0,4.78
1085087162862228078,Economy Room with Pool Near Sawgrass #2,45.0,4.78
927107485895798433,Cozy room near Casino and Raceway,45.0,4.77
507285406021633608,Waves: Beach Town Cozy Studio Apartment,45.0,4.76
694817873809783282,Cozy Queen Suite | Near Lauderdale-by-the-Sea,45.0,4.75
1223315281192018647,Come Home Again 2,45.0,4.75
44233570,Enhanced Clean Private King Bed & Free Park,45.0,4.72
811597836735504530,Home Away From Home.,45.0,4.72
1123362893507976095,Pelican Cove: Studio with Private Patio in Pompano,45.0,4.7
24991268,"Master room private bath  Airport, Las Olas, Beach",45.0,4.7
27755517,Sunset Resort House Rooms/RB&Gray,45.0,4.7
991969889358127054,Pompano House,45.0,4.67
639208665729723640,Hollywood Large Studio Close to Beach & Casino LB3,45.0,4.66
865244329424340086,Get Away stay,45.0,4.64
958885981917263871,Waves: Beach Town Studio Apartment,45.0,4.62
1150185427447800054,Private Room #2 near Hard Rock,45.0,4.57
1351706297400110209,Hollywood simms 1,46.0,5.0
1490876015776773753,1.	Private Cozy Room Near Hard Rock/ FLL airport,46.0,5.0
878546327145187201,Urban Cozy Room,46.0,5.0
1406759773675579071,Private Room #5 near Hard Rock h4,46.0,5.0
1126032492481497705,Pelican Cove: Studio with Full Kitchen and Patio,46.0,5.0
963327763738647126,Lizzie's Place,46.0,5.0
775424883972119220,At Mine | Seabreeze Suite Steps from the Ocean,46.0,4.92
53273220,Shell on the Beach #105,46.0,4.92
569649016987381488,Private Bedroom w/Lakeview/Netflix/Wi-Fi,46.0,4.92
871324896781011044,Room with Lake View - Private Entrance & Bathroom,46.0,4.91
772480133052161093,At Mine | Beach Suite in Fort Lauderdale,46.0,4.91
884704657670885027,The Heart of Wilton #5,46.0,4.91
1189797187335101058,Sunny  Bedroom & Shared Bathroom S,46.0,4.89
844974282048213943,The Garden Room,46.0,4.88
1237536322633020137,Charlie's Spot,46.0,4.86
1405741963274464837,Private Room #9 near Hard Rock h4,46.0,4.86
940904270060947311,"Kitchen, Parking, Beach Gear",46.0,4.82
1124770595384726889,Pelican Cove: Studio with Private Patio in Pompano,46.0,4.79
1330110319744651731,Private Room #4 near Hard Rock,46.0,4.78
1105161709375432627,(1411E) Bedroom in Pompano Beach,46.0,4.78
506588343718576899,Waves: Beach Town Studio Apartment,46.0,4.73
1457980082992728071,Santuaria 8,46.0,4.71
25291864,Sunset Resort House Rooms/Private Entrance,46.0,4.71
727474038291411920,The Oasis Studio,46.0,4.71
51330684,2 |Private Room | Bathroom | Entrance | Near Beach,46.0,4.7
53904798,Cozy Flat W/ Pool & Parking 10 min to FLL & Beach,46.0,4.68
1385356130437868300,Private stay in the heart of Wilton Manors,46.0,4.67
52783354,Luxury Master-Suite/Private Bath/Free Parking!,46.0,4.6
